MI0000070	hsa-mir-16-1	231	12434020;15648093;15766526;16146683;16166262;16204133;16251535;16323427;16616063;17242205;17327404;17351108;17395637;17539773;17624268;17683260;17727326;17848567;17936263;17941951;18187804;18246537;18281475;18348159;18362358;18423387;18449891;18483394;18701644;18708755;18718003;18759964;18820673;18854308;18927506;18931683;18982517;19106636;19144909;19148136;19177201;19195700;19228262;19229243;19250063;19269153;19347735;19347736;19401561;19428708;19454029;19498445;19507501;19536137;19549910;19591824;19626115;19643113;19723889;19738602;19779621;19865490;19883312;19903841;19908170;19944013;19945163;19997496;20013340;20031211;20060366;20068100;20129242;20329552;20403586;20424893;20428818;20433153;20470394;20515755;20561431;20584895;20619502;20621999;20626035;20643754;20647767;20668064;20683447;20711193;20839343;20847275;20868483;20876285;20883153;20884628;20890088;20944140;21055156;21057646;21081469;21118128;21130495;21156224;21199864;21205891;21205967;21247878;21278583;21336967;21345070;21345728;21354921;21360639;21382318;21390519;21400525;21441948;21454377;21472816;21487102;21527532;21532615;21539977;21563233;21567136;21575235;21602527;21629246;21666241;21693768;21698265;21704302;21722753;21778999;21811619;21834602;21838537;21881595;21885851;21886843;21903498;21909417;21910961;21913185;21914171;21936961;21960592;21980237;21987025;22002311;22033921;22049078;22049153;22066022;22089185;22096249;22133358;22139073;22185353;22209627;22249219;22259037;22260523;22292036;22298638;22332658;22384141;22387692;22409540;22423322;22431542;22449094;22472886;22484483;22492723;22574716;22583478;22675569;22677435;22684875;22692639;22710713;22719975;22720189;22773832;22781767;22814423;22821209;22833211;22849325;22856663;22868808;22903298;22909992;22912766;22920753;22922827;22940131;22942255;22959509;22966344;23077538;23083510;23104180;23150790;23175429;23217102;23226427;23228472;23233752;23260326;23282077;23308284;23325924;23355742;23380617;23405235;23408429;23441123;23507142;23595390;23607629;23608884;23613938;23649629;23741392;23803556;23886700;23898484;23905899;
MI0000071	hsa-mir-17	371	15944707;15944709;16096373;16180141;16461460;16878133;16940181;17135249;17135268;17210683;17218954;17284533;17322031;17325905;17384677;17438130;17539773;17558416;17562257;17575136;17586726;17608773;17613543;17624268;17716371;17727326;17943719;17956675;18025036;18066065;18186931;18327259;18329372;18346971;18403323;18423194;18429962;18493594;18521848;18536574;18583030;18607389;18632605;18644370;18647411;18688024;18695042;18698172;18700987;18719372;18728182;18765795;18773208;18832181;18836483;18922889;18941111;19066217;19088369;19110058;19136465;19155294;19158830;19177201;19196975;19199973;19201770;19210773;19293812;19347736;19349957;19351822;19390056;19401549;19413891;19424061;19435428;19477219;19486339;19502386;19597473;19608627;19631565;19633662;19654583;19666108;19672269;19690137;19696742;19706389;19734348;19771525;19782699;19806017;19821056;19823025;19887617;19887902;19933089;19945163;19949084;19956752;19995741;20003307;20008931;20008935;20014148;20022054;20037478;20047995;20079150;20080637;20089119;20090903;20133587;20144951;20148420;20167088;20209605;20215348;20227518;20234369;20299512;20300951;20305691;20349219;20406904;20423977;20437201;20448109;20488792;20489169;20505989;20518884;20550935;20595655;20603603;20643754;20656682;20703102;20711463;20724452;20805506;20810544;20818337;20842500;20847043;20851997;20878079;20881268;20885820;20940405;20956944;20959518;20964835;20980091;21040528;21067317;21111402;21114763;21129290;21140207;21170274;21176349;21177881;21191665;21196940;21203553;21220470;21239610;21247883;21253018;21271217;21283765;21317924;21335415;21338882;21350005;21358347;21367929;21370248;21383238;21383985;21416294;21444672;21501375;21507256;21509659;21527938;21538479;21541354;21586588;21592394;21616186;21628417;21660949;21663977;21666870;21692195;21698185;21714127;21739196;21743960;21751348;21757972;21765466;21770254;21794077;21796614;21806958;21816922;21852531;21857646;21883694;21892160;21897363;21898695;21910161;21935572;21953462;21953646;21955497;21981616;22022595;22024720;22037351;22045190;22057972;22062954;22065543;22072491;22082184;22110677;22116552;22132820;22155254;22161164;22164278;22186140;22197821;22207128;22228753;22235027;22238599;22278637;22286762;22291592;22308110;22326755;22343732;22349807;22362744;22371969;22383169;22406928;22407312;22430188;22438230;22449978;22450760;22451425;22452939;22470405;22473208;22475310;22490335;22504525;22561239;22562546;22563438;22583011;22583404;22645320;22647363;22659298;22665768;22677902;22681934;22682620;22730212;22731656;22752225;22781751;22797057;22802077;22809308;22815777;22828869;22864477;22883233;22894918;22907286;22917534;22952885;22959509;22960330;22969266;23001407;23019026;23022987;23029228;23036707;23056289;23059473;23059786;23060898;23064179;23087182;23095762;23096114;23097559;23111389;23114789;23128854;23156677;23158486;23160909;23172553;23194063;23203215;23205669;23226946;23246221;23249750;23250421;23258273;23263848;23267156;23271119;23280137;23284787;23285084;23288173;23306545;23308108;23322197;23333058;23372804;23377973;23391506;23396109;23407173;23432993;23436804;23438603;23469179;23492770;23495052;23497354;23532756;23575145;23575307;23579215;23583198;23603256;23644454;23716467;23748853;23749113;23768492;23792642;23792790;23804752;23830200;23863481;23868977;23871213;23911400;23912452;23921550;23969726;
MI0000072	hsa-mir-18a	66	15126345;17384677;17558416;17766684;18025036;18182067;18429962;18445216;18632605;18995836;19027010;19114653;19131573;19203451;19233176;19372139;19486339;19578755;19624877;19672269;19684618;19706389;19887902;19933089;20080637;20299512;20724452;20940405;21108928;21253018;21271217;21388952;21402698;21501375;21525173;21627027;21755340;21796641;21876625;21880309;21883694;21935572;21953462;21980462;22045190;22057972;22308110;22343615;22498362;22622035;22731656;22907286;22969266;23097559;23144930;23196705;23249750;23280137;23322197;23437304;23532756;23533157;23579215;23643275;23670042;23705859;
MI0000073	hsa-mir-19a	77	15126345;17384677;17558416;17575136;18429962;18460397;18632605;18728182;18758459;19196975;19538740;19713220;19887902;19933089;20008931;20008935;20080637;20133739;20183876;20299512;20435064;20437201;20505335;20851997;20857258;20868483;21059650;21108928;21176349;21177881;21200023;21220470;21271217;21334455;21388952;21501375;21527938;21692195;21751348;21816922;21853360;21883694;21909134;21910161;22105995;22186140;22238599;22308110;22350790;22361633;22362744;22451425;22552153;22561557;22675569;22677902;22684508;22731656;22828869;22844515;22883092;22902387;22907286;22952885;23028671;23029111;23271119;23344184;23451058;23522449;23532756;23575307;23603256;23609137;23795660;23824915;23830200;
MI0000074	hsa-mir-19b-1	62	15126345;17558416;17575136;18025036;18632605;18758459;19706389;19713220;19933089;20008931;20008935;20089119;20183876;20435064;20437201;20505335;20851997;20949028;21059650;21176349;21177881;21200023;21220470;21334455;21501375;21527938;21642990;21794077;21796614;21816922;21853360;21883694;21909134;22105995;22197821;22238599;22278637;22308110;22362744;22382630;22430188;22561557;22675043;22684508;22704449;22729947;22731656;22815777;22836280;22899284;22900099;22995917;23271119;23308108;23344497;23438603;23532756;23575307;23609137;23721325;23824915;23868977;
MI0000075	hsa-mir-19b-2	59	17558416;17575136;18025036;18758459;19706389;19713220;19933089;20008931;20008935;20089119;20183876;20435064;20437201;20505335;20851997;20949028;21059650;21177881;21200023;21220470;21334455;21501375;21527938;21642990;21794077;21796614;21816922;21853360;21883694;21909134;22105995;22197821;22238599;22278637;22308110;22362744;22382630;22430188;22561557;22675043;22684508;22704449;22729947;22731656;22815777;22836280;22899284;22900099;22995917;23271119;23308108;23344497;23438603;23532756;23575307;23609137;23721325;23824915;23868977;
MI0000076	hsa-mir-20a	128	15126345;15944709;16461460;17135249;17384677;17558416;17562257;17766684;18025036;18182067;18230780;18632605;18695042;18719372;18773208;18832181;18836483;18941111;19110058;19196975;19390056;19578755;19597473;19666108;19690137;19696742;19887902;19893619;19933089;20022054;20089119;20201611;20299512;20406904;20458444;20485376;20488792;20583868;20711463;20851997;20868483;20878079;20940405;20944140;21059650;21093163;21112772;21114763;21212882;21220470;21242194;21271217;21283765;21383238;21401928;21416294;21460253;21509659;21551242;21572246;21592394;21642990;21690193;21714127;21743293;21743960;21751348;21765466;21794077;21816922;21880628;21883694;21909134;21998631;22182208;22186140;22202009;22223846;22298119;22350790;22361633;22371969;22406928;22438230;22447484;22449978;22450430;22480843;22549745;22583404;22648654;22682761;22686440;22696064;22731656;22751500;22752225;22781751;22785209;22825541;22887947;22891887;22894918;22901144;22904162;22952885;22959509;22994753;23056289;23059786;23087182;23158486;23194063;23203215;23246221;23307259;23333058;23342174;23344677;23435463;23515710;23532756;23557329;23768492;23836497;23868977;23911400;23945289;
MI0000077	hsa-mir-21	799	12477932;12554881;15525708;16024602;16103053;16365291;16461460;16690972;16966691;17072344;17149698;17327404;17363372;17475218;17478730;17487835;17496199;17562257;17570552;17587821;17622355;17681183;17702597;17766684;17908999;17968323;17991735;18058265;18059191;18089790;18182067;18187804;18196926;18218696;18223217;18230780;18242245;18270520;18302417;18318758;18335499;18347435;18348159;18358831;18372920;18384814;18400113;18446835;18460397;18507035;18548003;18589210;18591254;18642050;18688024;18695884;18710654;18712719;18718003;18719201;18728182;18794849;18799331;18829576;18831788;18841558;18850008;18853072;18932017;18950829;18971265;18982517;18997871;19013014;19018011;19043405;19072831;19080492;19082437;19088704;19106647;19112422;19120703;19136465;19147652;19150961;19159078;19177201;19179615;19201947;19212625;19213759;19229243;19253296;19264808;19267923;19276261;19290006;19296468;19302977;19308091;19342679;19398578;19398721;19408243;19419954;19424061;19430705;19435867;19446359;19473551;19487295;19493678;19502386;19509156;19509158;19519553;19546886;19547998;19559015;19578724;19597153;19614619;19633292;19641183;19672202;19682430;19702585;19711427;19723895;19730150;19737943;19738047;19738433;19753298;19776030;19788861;19789312;19816956;19826040;19831385;19836969;19843843;19901002;19906824;19921579;19924305;19934272;19946272;19951901;19997496;20003307;20015039;20018759;20035975;20048743;20061215;20082533;20086228;20092645;20094072;20113523;20141427;20143188;20143607;20144951;20148895;20153722;20154725;20160498;20167875;20178687;20187102;20219352;20219416;20223231;20226761;20234369;20301167;20302909;20331864;20332664;20335152;20338946;20346171;20353279;20357270;20363096;20368367;20371612;20372781;20388782;20393129;20404348;20415649;20417062;20424893;20427269;20428818;20433153;20435894;20447717;20460403;20460539;20462046;20480266;20483747;20489163;20489169;20498843;20504344;20514462;20515755;20533548;20546595;20551304;20560046;20562424;20581857;20586854;20614181;20620599;20621190;20625373;20628822;20633539;20643828;20647767;20649511;20670480;20682703;20693317;20693987;20697623;20701609;20702469;20704380;20711171;20724916;20726036;20801493;20801640;20813833;20815812;20816946;20826792;20827319;20831814;20832755;20841497;20842666;20856158;20879171;20880178;20884876;20888330;20942748;20952761;20956945;20959518;20964835;20978195;20978356;20978511;20980091;21035401;21036945;21042775;21047769;21059829;21063030;21068491;21069438;21078976;21081469;21085192;21088996;21099344;21104017;21116241;21124074;21131358;21139022;21139417;21141738;21159845;21170291;21177307;21187093;21200023;21219636;21229610;21255435;21263248;21269386;21270527;21271219;21273303;21274675;21274750;21278789;21279518;21282984;21283620;21285516;21295551;21303526;21317927;21324318;21328460;21330826;21345070;21347332;21350005;21351266;21373745;21375733;21376256;21381024;21407217;21408027;21412018;21426570;21426775;21435175;21453382;21458843;21463919;21467264;21468550;21471222;21502305;21502955;21507256;21509659;21516486;21521185;21532496;21544242;21546206;21555366;21562928;21565290;21567082;21571357;21594291;21602271;21613227;21616186;21618027;21627859;21627863;21636706;21636785;21647251;21647970;21649547;21652514;21652542;21655185;21669038;21673684;21685938;21690193;21693658;21698265;21712654;21716661;21718132;21721011;21731696;21732152;21734186;21738581;21743960;21747757;21749846;21753737;21757972;21761201;21763111;21765906;21775132;21775484;21804579;21806946;21807040;21817107;21820586;21820606;21820659;21826097;21826251;21842656;21845215;21849676;21849698;21854773;21859927;21863027;21864403;21872591;21875645;21876743;21883657;21886843;21892915;21895872;21909994;21910961;21914171;21917003;21920918;21925388;21930727;21937508;21937590;21940630;21943223;21955614;21956146;21956205;21968270;21968700;21983937;21987025;22001440;22001830;22034194;22034847;22057972;22064652;22066022;22072622;22080513;22086602;22087031;22094257;22095988;22099878;22105822;22114136;22119803;22120473;22130252;22133680;22140441;22158624;22161164;22162762;22173871;22174421;22174818;22176994;22187223;22190519;22194634;22194833;22202009;22210182;22211842;22212233;22213145;22213236;22213426;22213800;22222153;22227207;22237007;22244963;22249446;22258897;22259037;22265967;22266859;22267008;22267128;22273643;22286305;22286762;22289526;22289545;22291592;22295063;22298119;22304774;22307176;22307526;22311172;22316494;22317835;22320969;22322403;22322462;22323912;22326466;22335905;22335906;22341810;22343615;22344686;22347428;22350790;22351693;22353043;22354855;22357537;22367347;22367372;22370716;22371328;22382630;22384141;22387281;22387553;22391115;22403704;22405870;22417311;22425712;22430134;22435731;22445295;22464652;22466166;22474606;22476768;22480843;22482439;22487708;22492962;22493679;22505577;22519435;22520393;22523595;22524830;22525256;22526161;22528454;22534459;22541087;22547075;22553926;22560983;22573493;22580180;22594804;22609400;22614007;22614019;22614176;22617246;22618231;22622653;22626557;22630347;22631664;22634616;22638884;22642976;22648208;22665489;22666537;22672859;22677902;22678116;22685542;22689922;22690848;22695179;22697284;22698984;22703586;22704449;22705808;22709411;22714032;22716245;22721760;22728051;22729947;22735911;22739167;22753494;22753745;22760500;22761427;22761812;22766763;22766795;22770403;22773832;22776181;22781298;22782668;22782903;22785173;22788411;22790595;22792096;22799367;22800522;22806311;22814425;22832383;22836756;22836856;22844109;22850622;22853427;22860003;22868372;22879939;22882958;22890253;22890559;22891879;22895844;22898264;22901216;22905187;22907752;22907769;22911455;22922228;22924844;22929890;22931209;22945263;22952749;22956424;22957792;22960330;22964638;22970173;22977465;22978663;22994734;22997891;22999546;23011541;23020145;23022987;23023917;23036707;23041385;23052036;23055106;23064661;23074166;23077620;23082189;23084187;23091604;23092342;23097335;23097499;23099007;23104517;23108026;23115646;23121918;23126427;23131772;23134990;23137528;23138885;23139258;23151984;23160909;23161775;23168040;23174013;23174574;23174819;23175214;23201752;23203215;23205669;23206776;23207443;23207927;23212265;23215807;23216894;23224068;23224754;23229173;23232518;23238710;23239100;23247593;23255093;23259291;23267156;23269581;23269700;23272057;23272133;23277281;23285182;23288924;23293055;23297865;23303460;23303804;23312904;23312977;23313253;23315173;23316035;23321165;23334650;23335180;23362834;23372687;23384558;23385064;23390194;23395552;23396454;23410520;23416953;23417858;23428850;23436423;23441172;23442323;23445447;23446999;23469132;23469214;23479230;23480766;23481326;23485999;23504349;23530023;23554630;23557933;23558936;23559272;23564788;23564792;23567619;23578931;23583411;23610125;23613882;23621186;23629000;23639940;23643356;23657402;23663545;23669076;23684551;23691029;23704278;23704279;23708208;23717555;23722663;23725032;23732394;23735656;23748970;23750211;23756108;23758151;23792563;23795457;23797704;23798791;23810250;23820752;23823624;23827854;23830200;23850778;23857284;23858763;23861444;23865553;23883112;23888942;23890123;23898484;23905899;23933230;23933812;23940701;23951172;23982232;23991015;24004609;24012640;24012885;
MI0000078	hsa-mir-22	75	15272117;18066065;18347134;19011694;19306352;19414598;19755794;19807731;20081105;20170724;20180843;20214878;20388916;20415550;20523723;20562918;20633528;20813046;20842113;20869762;20943850;21037424;21122376;21168126;21176563;21223560;21502362;21538479;21565925;21565979;21567136;21592394;21594648;21606975;21629773;21750200;21755340;21765920;21775437;21798241;21968817;22120965;22166214;22231906;22300138;22328083;22375943;22456238;22469921;22484852;22492279;22493679;22510010;22660186;22815235;22820191;22829289;22849325;23022100;23091627;23203215;23299407;23303785;23349832;23355742;23372812;23440286;23493781;23508904;23524588;23529765;23663360;23827711;23851184;23999999;
MI0000079	hsa-mir-23a	75	12808467;14510471;15372072;16337206;17194750;18508316;18950829;19088369;19219026;19259393;19513126;19574461;19758457;19806017;19812168;19861459;20086171;20219416;20413915;20553585;20652617;20698883;20711171;20716115;20815877;21055156;21125339;21241464;21519184;21536891;21593605;21693609;21716661;21750350;21811619;21909094;21960059;22038739;22084234;22093502;22136461;22318941;22435726;22455847;22479426;22487494;22628407;22634383;22653319;22674182;22684455;22752005;22763947;22771720;22932459;22977465;23019365;23032062;23064179;23064315;23158364;23236401;23322776;23420868;23439547;23439683;23450049;23596882;23643275;23649631;23711961;23785404;23918807;23929433;23977359;
